OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SHAPE,SIGNAL_MAINT_DIST,SIGNAL_TYPE
1366497,8981,1284475.611460000043735,240014.161320000013802,27383,13,25324,NE,WEBSTER POINT RD NE AND DEAD END,0,"(47.64883282100004, -122.27749037399997)", ,NONE
1366498,13399,1273896.87300999998115,216957.77858000001288,31252,13,51128,GRDWM,11TH AVE S AND BEACON AVE S,2,"(47.58508349500005, -122.318595674)", ,NONE
1366499,5706,1277243.785270000109449,251979.005369999998948,24775,13,6720,NE,19TH AVE NE AND NE 73RD ST,0,"(47.68125244000004, -122.30775486899995)", ,NONE
1366500,13772,1273168.277810000116006,215047.111819999990985,31299,13,51316,GRDWM,AIRPORT WAY S AND S LANDER N ST,1,"(47.57980781200007, -122.32139775599995)", ,CITY
1366501,7820,1284096.372800000011921,244566.920110000006389,27317,13,25116,NE,45TH AVE NE AND NE 45TH ST,3,"(47.66129242400007, -122.27937574699996)", ,NONE
1366502,2739,1271400.498989999992773,268572.418500000028871,35952,13,220708,NW,BAGLEY AVE N AND DEAD END 3,0,"(47.726424965000035, -122.33278411599997)", ,NONE
1366503,17610,1281910.663739999989048,197600.676219999993918,34579,13,73735,GRDWM,38TH AVE S AND DEAD END 2 ,0,"(47.53244496500008, -122.28464972799998)", ,NONE
1366504,3546,1267998.068780000088736,262168.252350000024308,36404,13,225716,NW,WHITMAN AVE N AND DEAD END,0,"(47.70868890500003, -122.34609444999995)", ,NONE
1366505,12337,1277046.984249999979511,223620.778140000009444,30214,13,41756,CNTRL,20TH AVE AND E SPRUCE ST,0,"(47.60351264900004, -122.30635023999997)", ,NONE
1366506,14078,1279860.657210000092164,213532.739470000000438,31512,13,52456,SE,30TH AVE S AND S MOUNT BAKER WB S BV,3,"(47.57600843600005, -122.29417081799994)", ,NONE
1366507,14959,1258588.135209999978542,210475.502479999995558,31889,13,54316,SW,38TH AVE SW AND SW DAKOTA ST,0,"(47.56648912800006, -122.38008758899997)", ,NONE
1366508,3897,1266982.788140000076964,260074.185410000005504,37392,13,232513,NW,FREMONT AVE N AND N 102ND ST,0,"(47.702894392000076, -122.35004982299995)", ,NONE
1366509,10480,1262917.30563999991864,233648.180129999993369,28622,13,34181,MGNL-QA,6TH AVE W AND DEAD END 3,0,"(47.63024141400007, -122.36442249599997)", ,NONE
1366510,6969,1259627.88816999993287,247451.450290000007953,25149,13,11301,BLRD,17TH AVE NW AND NW 54TH ST,0,"(47.667895085000055, -122.378884589)", ,NONE
1366511,4620,1270923.046709999907762,256676.489659999992,37592,13,233728,NW,MERIDIAN AVE N AND N 90TH S ST,0,"(47.69379320400003, -122.33378135799995)", ,NONE
1366512,15344,1271736.444469999987632,208289.89069999998901,32387,13,57731,GRDWM,6TH AVE S AND S ALASKA ST,0,"(47.56121039200008, -122.32666675499996)", ,NONE
1366513,16282,1284997.912639999995008,204094.502279999986058,33522,13,66335,SE,48TH AVE S AND S MEAD ST,0,"(47.550403542000026, -122.27264636099994)", ,NONE
1366514,11220,1282910.412350000115111,229978.413980000012089,29469,13,38734,E,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3,"(47.62124412900005, -122.28307237499996)", ,NONE
1366515,11636,1279961.801530000055209,227858.068640000012238,30005,13,41128,CNTRL,29TH AVE AND E PINE ST,0,"(47.61527937400007, -122.29486327499995)", ,NONE
1366516,5152,1274207.080250000115484,254314.130360000010114,24389,13,5118,N,8TH AVE NE AND NE 81ST ST,0,"(47.68749279200006, -122.32026348299996)", ,NONE
1366517,13640,1273477.650230000028387,215798.70350000000326,31334,13,51458,GRDWM,S STACY ST AND DEAD END 1 ,0,"(47.58188430200005, -122.32020334599997)", ,NONE
1366518,4561,1283619.800640000030398,256801.221309999993537,38454,13,235721,NE,42ND AVE NE AND NE 92ND S ST,0,"(47.694802055000025, -122.28224402899997)", ,NONE
1366519,9561,1260542.681379999965429,237506.376619999995455,340119,13,28657,MGNL-QA,GILMAN UPPER DR W AND W WHEELER ST,0,"(47.64068657400003, -122.37436441399996)", ,NONE
1366520,47040,1268735.366189999971539,234376.496290000010049,516428,13,29472,MGNL-QA,8TH AVE N AND WESTLAKE N AVE N,1,"(47.632552572000066, -122.34088913)", ,CITY
1366521,46422,1268967.656500000040978,235802.953130000008969,334877,13,29465,LKUN,NEWTON ST AND WESTLAKE SHORE RDWY AVE N,0,"(47.636474907000036, -122.34006045499996)", ,NONE
1366522,18220,1272965.433399999979883,194347.359610000014072,286961,13,78453,GRDWM,DUWAMISH RIVER TRL AND S HENDERSON ST,0,"(47.52305946900003, -122.32059871499996)", ,NONE
1366523,47117,1269327.378740000072867,223160.903320000012172,534668,13,43223,DWNTN,COLMAN DOCK ACCESS RD AND DEAD END,0,"(47.601842789000045, -122.33759941799997)", ,NONE
1366524,11969,1269058.773300000000745,225881.387420000013663,29592,13,39318,DWNTN,2ND AVE AND PIKE ST,1,"(47.60928514300008, -122.33890369399995)", ,CITY
1366525,11471,1278931.97035999991931,228737.726109999988694,30040,13,41164,CNTRL,E HOWELL ST AND DEAD END,0,"(47.61763681600007, -122.29910583099996)", ,NONE
1366526,9266,1256971.284519999986514,238592.099240000010468,27647,13,27528,MGNL-QA,25TH AVE W AND W RAYE ST,0,"(47.643465493000065, -122.38893755699996)", ,NONE
1366527,6852,1254846.036259999964386,247814.106029999995371,25064,13,10301,BLRD,32ND AVE NW AND NW MARKET ST,3,"(47.66862417900006, -122.39831785399997)", ,NONE
1366528,11168,1268928.176939999917522,230113.763999999995576,28790,13,35336,LKUN,9TH AVE N AND THOMAS ST,1,"(47.62087893100005, -122.33976887299997)", ,NONE
1366529,6584,1273065.956400000024587,248776.850869999994757,25827,13,14518,LKUN-NW,4TH AVE NE AND NE 60TH ST,0,"(47.67225474700007, -122.32446007499999)", ,NONE
1366530,14415,1280887.647550000110641,212224.253579999989597,32644,13,59521,SE,34TH AVE S AND S HINDS ST,0,"(47.57247524200005, -122.28991050399998)", ,NONE
1366531,9896,1261192.631589999888092,236209.37233000001288,27971,13,28747,MGNL-QA,11TH AVE W AND GILMAN UPPER DR W,0,"(47.637167211000076, -122.37162331099995)", ,NONE
1366532,4836,1261301.802540000062436,255711.223479999986012,37268,13,231744,BLRD,13TH AVE NW AND NW 85TH ST,1,"(47.690626543000064, -122.37276283299997)", ,NONE
1366533,3650,1271632.332590000005439,261419.461570000014035,36590,13,226727,NW,CORLISS AVE N AND CORLISS AV I5 SB ON RP,5,"(47.706831382000075, -122.33127665299997)", ,NONE
1366534,13282,1279245.244990000035614,217516.135060000000522,31413,13,52119,SE,28TH AVE S AND S GRAND ST,0,"(47.58689485300005, -122.29697055199995)", ,NONE
1366535,17588,1268193.813550000078976,197687.903099999995902,34117,13,70466,DLRD,SW KENYON ST AND DEAD END 1,0,"(47.531961350000074, -122.34017173799998)", ,NONE
1366536,13277,1278436.841269999975339,217535.101590000005672,31416,13,52122,SE,25TH AVE S AND S GRAND ST,0,"(47.58690464500006, -122.30024725799996)", ,NONE
1366537,14623,1281553.001789999892935,211885.534090000001015,32655,13,59534,SE,COURTLAND PL S AND S SPOKANE ST,0,"(47.57158130100004, -122.28718964299998)", ,NONE
1366538,14024,1280938.994750000070781,213781.985680000012508,30870,13,46730,SE,34TH AVE S AND S MOUNT BAKER EB BV,3,"(47.57674765000007, -122.28982195499998)", ,NONE
1366539,8014,1268010.222640000050887,243919.335599999991246,26819,13,22134,LKUN,WOODLAND PARK AVE N AND N MOTOR PL,0,"(47.65867012100006, -122.34458959399996)", ,NONE
1366540,17249,1281594.238009999971837,199292.230019999988144,34560,13,73710,GRDWM,S MYRTLE PL AND S OTHELLO ST,1,"(47.53706515400006, -122.28605964199994)", ,NONE
1366541,9906,1277058.588980000000447,236174.732970000011846,28440,13,31717,NE,19TH AVE E AND BOYER AVE E,2,"(47.63792347800006, -122.30727779799997)", ,NONE
1366542,15419,1256200.914720000000671,207910.487430000008317,32845,13,61503,SW,45TH AVE SW AND SW EDMUNDS ST,0,"(47.55932665800003, -122.38954529399996)", ,NONE
1366543,13473,1280208.583480000030249,216613.239189999992959,31445,13,52155,SE,31ST AVE S AND S HILL ST,3,"(47.58447017600008, -122.29299819399995)", ,NONE
1366544,3442,1282987.727930000051856,263045.627329999988433,36826,13,228702,N,40TH AVE NE AND NE 115TH ST,0,"(47.71188527500004, -122.28528856799994)", ,NONE
1366545,10529,1262911.984940000111237,233414.531240000011167,28580,13,34138,MGNL-QA,6TH AVE W AND W HIGHLAND DR,0,"(47.62960070500003, -122.36442521899994)", ,NONE
1366546,14552,1275301.829940000083297,212023.149200000014389,32532,13,58524,GRDWM,16TH AVE S AND S SPOKANE ST,2,"(47.57163194200007, -122.31251940599998)", ,NONE
1366547,16563,1257033.356069999979809,202710.877570000011474,33751,13,68107,SW,42ND AVE SW AND FAUNTLEROY WAY SW,1,"(47.54512096700006, -122.38574973899995)", ,NONE
1366548,15004,1271758.321460000006482,210225.575819999998203,32390,13,57853,GRDWM,6TH AVE S AND S INDUSTRIAL EB WAY,2,"(47.56651722200007, -122.32673029499995)", ,NONE
1366549,10677,1268048.422190000070259,232736.149410000012722,28727,13,35120,MGNL-QA,AURORA AVE N AND WARD ST,1,"(47.628019522000045, -122.343544141)", ,NONE
1366550,8565,1264431.253800000064075,242014.366890000004787,26678,13,21311,LKUN,LEARY WAY NW AND NW 36TH E ST,1,"(47.65325510900004, -122.35895632599994)", ,NONE
1366551,18231,1270709.732400000095367,194304.605559999996331,35191,13,78707,GRDWM,4TH AVE S AND S HENDERSON S ST,0,"(47.52282241000006, -122.32972304699996)", ,NONE
1366552,5535,1273586.313520000083372,252607.441079999989597,24608,13,5851,NW,NE MAPLE LEAF PL AND DEAD END,0,"(47.682781901000055, -122.32264927699998)", ,NONE
1366553,4088,1258282.5439100000076,259090.054590000014286,36913,13,230145,BLRD,23RD AVE NW AND NW 97TH ST,0,"(47.69972143800004, -122.38529614099997)", ,NONE
1366554,4898,1280848.158779999939725,255438.451130000001285,37684,13,234350,NE,32ND AVE NE AND NE 86TH ST,0,"(47.690923111000075, -122.29339167199998)", ,NONE
1366555,4703,1265947.020329999970272,256271.109560000011697,37449,13,232726,NW,PHINNEY AVE N AND N 87TH ST,0,"(47.69241432900003, -122.35395036999995)", ,NONE
1366556,15294,1256897.120289999991655,208545.76423000000068,31916,13,54344,SW,CALIFORNIA AVE SW AND SW ALASKA ST,2,"(47.56110646800005, -122.38677811099996)", ,CITY
1366557,11096,1279569.959229999920353,230505.526940000010654,29258,13,37327,CNTRL,E ARTHUR PL AND E HARRISON ST,0,"(47.62251562900008, -122.29665578099997)", ,NONE
1366558,11788,1281055.704889999935403,226968.291230000002543,30263,13,42556,CNTRL,33RD AVE AND E UNION ST,3,"(47.612897360000034, -122.29036060799996)", ,NONE
1366559,8034,1282149.422139999922365,243817.735849999997299,27409,13,25520,NE,NE 42ND ST AND DEAD END 2,0,"(47.659138350000035, -122.28721768199995)", ,NONE
1366560,12968,1278903.408190000103787,219252.061329999996815,30684,13,45362,CNTRL,26TH AVE S AND S WADSWORTH PL,0,"(47.59163518500003, -122.29848941899996)", ,NONE
1366561,15580,1281722.71800999995321,207167.584899999987101,33567,13,66510,SE,37TH AVE S AND S EDMUNDS ST,0,"(47.55865817600005, -122.28614144699998)", ,NONE
1366562,11599,1272920.548660000087693,227975.519650000002002,29734,13,40109,E,BOYLSTON AVE AND E PINE ST,2,"(47.61523114200003, -122.32341547099998)", ,NONE
1366563,2860,1263781.98609000002034,267573.289159999985714,35624,13,218317,NW,6TH AVE NW AND NW 130TH ST,0,"(47.72327529300003, -122.36365218599997)", ,NONE
1366564,16067,1286107.522369999904186,205143.760260000010021,33684,13,67533,SE,52ND AVE S AND WILSON N AVE S,2,"(47.55333637600006, -122.26823311699997)", ,NONE
1366565,8993,1262609.563180000055581,239964.028590000001714,26779,13,21751,MGNL-QA,W ETRURIA ST AND DEAD END,0,"(47.64753601000007, -122.36618049599997)", ,NONE
1366566,10982,1275149.073970000026748,231226.069409999996424,29007,13,36319,E,14TH AVE E AND E MERCER ST,0,"(47.62425876800006, -122.31463539699996)", ,NONE
1366567,3995,1265651.679530000081286,259577.545409999991534,37396,13,232517,NW,GREENWOOD AVE N AND N 100TH ST,2,"(47.70146108500006, -122.35541487499995)", ,NONE
1366568,18014,1286746.834500000113621,195426.664060000010068,35429,13,81530,SE,SEWARD PARK AVE S AND S CLOVERDALE ST,2,"(47.52673429600003, -122.26491262299999)", ,NONE
1366569,5374,1274197.682999999960884,253257.609139999985928,24415,13,5144,N,8TH AVE NE AND NE 77TH ST,0,"(47.68459640100008, -122.32021875499998)", ,NONE
1366570,9429,1261439.713579999981448,237974.570409999985714,27902,13,28556,MGNL-QA,WESTVIEW DR W AND W HALLADAY ST,0,"(47.642019049000055, -122.37076434099998)", ,NONE
1366571,6547,1285043.064639999996871,248891.98021000000881,26101,13,16112,NE,ANN ARBOR AVE NE AND NE 60TH ST,0,"(47.67319612800003, -122.27586369399995)", ,NONE
1366572,12726,1281619.404610000085086,221012.511129999998957,35554,13,146855,CNTRL,LAKESIDE UPPER AVE S AND S LANE ST,0,"(47.59660179900004, -122.28761935899996)", ,NONE
1366573,2528,1280356.971320000011474,270425.448389999975916,36003,13,221117,N,30TH AVE NE AND NE 143RD ST,3,"(47.73197667000005, -122.29654264199996)", ,NONE
1366574,14569,1263328.444970000069588,211988.217739999992773,286979,13,55275,DLRD,22ND AVE SW CONNCTR TRL AND DELRIDGE CONNCTR TRL,0,"(47.570894966000026, -122.36101171099995)", ,NONE
1366575,13113,1277921.686070000054315,218514.561170000000857,287008,13,45867,SE,MOUNTAINS TO SOUND TRL AND S ATLANTIC ST,0,"(47.589562397000066, -122.30241016599996)", ,NONE
1366576,12644,1269996.078900000080466,220234.246290000010049,30380,13,43221,DWNTN,ALASKAN WY VI NB AND S ROYAL BROUGHAM WAY ON RP,1,"(47.59385671300004, -122.33465801499995)", ,NONE
1366577,18426,1283877.340219999896362,193146.004599999985658,286941,13,80463,SE,45TH AVE S AND S SHELL ST,0,"(47.52033606200007, -122.27635192399998)", ,NONE
1366578,15034,1278884.176190000027418,209929.779589999991003,335198,13,58453,GRDWM,29TH AVE S AND S DAKOTA ST,0,"(47.566081859000064, -122.29784842999999)", ,NONE
1366579,9259,1279124.26988000003621,238607.657130000006873,493077,13,31258,NE,MONTLAKE BV EB ON RP AND SR520 EB,4,"(47.64470024800005, -122.29908844299996)", ,NONE
1366580,3315,1281471.044920000014827,263973.735619999992196,36629,13,227132,N,33RD PL NE AND 35TH AVE NE,2,"(47.71435059800007, -122.29151962699996)", ,NONE
1366581,7482,1264048.805159999988973,245546.931379999994533,25363,13,12364,LKUN,3RD AVE NW AND NW 47TH S ST,3,"(47.66291688300004, -122.36079223499996)", ,NONE
1366582,9611,1251553.188129999907687,237303.818659999989904,27569,13,26701,MGNL-QA,MAGNOLIA BLVD W AND W PARKMONT SR PL,3,"(47.639632078000034, -122.41080506599997)", ,NONE
1366583,3932,1266714.886960000032559,259815.728570000006584,37403,13,232524,NW,EVANSTON AVE N AND N 101ST ST,0,"(47.70217149600006, -122.35111693099998)", ,NONE
1366584,9763,1267254.81808999995701,236795.857060000009369,27995,13,29705,MGNL-QA,5TH AVE N AND LYNN ST,0,"(47.639104271000065, -122.34708575199994)", ,NONE
1366585,12619,1269719.487539999885485,221857.875609999988228,30367,13,43133,DWNTN,ALASKAN WAY S AND S KING ST,1,"(47.59829223200006, -122.33590723199995)", ,CITY
1366586,9433,1261891.514919999986887,237963.854759999987436,27904,13,28558,MGNL-QA,9TH AVE W AND W HALLADAY ST,0,"(47.642014406000044, -122.36893109599998)", ,NONE
1366587,16806,1255818.704420000081882,201708.363390000013169,165436,13,68530,SW,45TH AVE SW AND SW WILLOW ST,0,"(47.542305870000064, -122.39058469899999)", ,NONE
1366588,5355,1275438.335029999958351,253341.425849999999627,24413,13,5142,NE,12TH AVE NE AND NE 77TH ST,1,"(47.68489174000007, -122.31518938399995)", ,NONE
1366589,3228,1276303.485749999992549,264597.641409999981988,36449,13,226124,N-NW,15TH AVE NE AND NE 120TH ST,1,"(47.71579035700006, -122.31255597899997)", ,HALFPED
1366590,18273,1272947.639600000111386,194052.508280000009108,35133,13,78323,GRDWM,S DIRECTOR ST AND DEAD END 4 ,0,"(47.52225034400004, -122.32064765599995)", ,NONE
1366591,14294,1282351.581500000087544,212654.570379999990109,32637,13,59511,SE,BELLA VISTA AVE S AND S HORTON ST,0,"(47.573730545000046, -122.28401386499996)", ,NONE
1366592,4705,1279534.874169999966398,256265.782970000000205,37665,13,234325,NE,27TH AVE NE AND NE 89TH ST,0,"(47.693122387000074, -122.29878705399994)", ,NONE
1366593,17638,1271151.05746000004001,197381.918329999985872,35147,13,78504,GRDWM,5TH AVE S AND S MONROE ST,0,"(47.53128075600006, -122.32817914199995)", ,NONE
1366594,10535,1266756.407339999917895,233391.287719999992987,28844,13,35535,MGNL-QA,4TH AVE N AND HIGHLAND DR,0,"(47.62974560200007, -122.34883512099998)", ,NONE
1366595,15519,1283681.958980000112206,207391.883659999992233,33416,13,66104,SE,44TH AVE S AND S ANGELINE ST,0,"(47.559374098000035, -122.27822491299997)", ,NONE
1366596,8166,1274357.341239999979734,243374.630059999995865,27094,13,23134,NE,9TH AVE NE AND NE 42ND ST,1,"(47.657515871000044, -122.31879625099998)", ,NONE
1366597,17738,1271912.910900000017136,196838.315650000004098,35183,13,78668,GRDWM,S SOUTHERN ST AND DEAD END,0,"(47.52983128000005, -122.32505316099997)", ,NONE
1366598,2913,1280339.335230000084266,267114.335169999976642,36054,13,221325,N,30TH AVE NE AND NE 130TH ST,3,"(47.72290005100007, -122.29635851799998)", ,NONE
1366599,13244,1281143.621689999941736,217767.248790000012377,30833,13,46510,SE,LAKE WASHINGTON BLVD S AND S MASSACHUSETTS ST,0,"(47.58768187100003, -122.28929852299996)", ,NONE
1366600,4208,1254537.49711999995634,258494.788280000007944,36869,13,229302,BLRD,NW ESPLANADE AND DEAD END,0,"(47.69788181400003, -122.40045250599997)", ,NONE
1366601,5549,1254923.753250000067055,252560.803769999998622,23997,13,2705,BLRD,32ND AVE NW AND NW 73RD ST,3,"(47.68163881700008, -122.39839425899999)", ,NONE
1366602,17477,1270468.050229999935254,198182.859389999997802,34272,13,71731,GRDWM,S PORTLAND ST AND DEAD END 2 ,0,"(47.53343971100003, -122.33100645899998)", ,NONE
1366603,17257,1257900.262949999887496,199255.554689999989932,33817,13,68336,SW,39TH AVE SW AND SW WEBSTER ST,0,"(47.53569803100004, -122.38195884499999)", ,NONE
1366604,12637,1275720.599609999917448,221754.526619999989634,30761,13,45552,CNTRL,16TH AVE S AND S KING ST,0,"(47.59832755800005, -122.31158047399998)", ,NONE
1366605,15016,1273103.13042000005953,210083.711879999988014,32292,13,57316,GRDWM,9TH AVE S AND S ADAMS ST,0,"(47.56619978500004, -122.32127286299999)", ,NONE
1366606,6862,1257492.464420000091195,247780.35474000000977,25143,13,11136,BLRD,24TH AVE NW AND NW MARKET ST,2,"(47.66867869300006, -122.38757648599994)", ,CITY
1366607,11646,1281348.164919999893755,227805.370529999985592,30251,13,42540,CNTRL,34TH AVE AND E PINE ST,3,"(47.61520696700006, -122.28923931299994)", ,NONE
1366608,9501,1273099.423029999947175,237749.010089999996126,28209,13,30131,LKUN,BOYLSTON AVE E AND E LOUISA ST,2,"(47.642029525000055, -122.32345760899995)", ,NONE
1366609,16552,1256674.261029999936,202792.736390000005485,33753,13,68109,SW,CALIFORNIA AVE SW AND SW BEVERIDGE PL,2,"(47.54532547000008, -122.38721010299997)", ,NONE
1366610,11322,1265366.413100000005215,229351.305629999988014,29662,13,39516,DWNTN,DENNY WAY AND WARREN AVE N,1,"(47.618597022000074, -122.35414746599997)", ,NONE
1366611,15840,1271635.981870000017807,205983.448449999996228,33157,13,64519,GRDWM,6TH AVE S AND S BENNETT ST,0,"(47.554883146000066, -122.32689228599997)", ,NONE
1366612,3260,1281150.665019999956712,264410.432190000021365,36618,13,227120,N,33RD AVE NE AND NE 120TH ST,0,"(47.71553092800008, -122.29285447299998)", ,NONE
1366613,10650,1276025.461050000041723,232813.690789999993285,529881,13,37651,E,16TH AVE E AND E PROSPECT E ST,0,"(47.62865659900007, -122.31120580999999)", ,NONE
1366614,14335,1276851.644219999900088,212525.325450000003912,32545,13,58654,GRDWM,S HINDS ST AND DEAD END 3,0,"(47.57308989000006, -122.30628112999995)", ,NONE
1366615,6370,1262817.696810000110418,249544.579759999993257,25265,13,12127,BLRD-NW,8TH AVE NW AND NW 62ND S ST,2,"(47.67380710700007, -122.36611037099999)", ,NONE
1366616,7982,1266168.736560000106692,244060.581039999990026,26952,13,22535,LKUN,DAYTON AVE N AND N 43RD ST,3,"(47.65895789000007, -122.35207187199995)", ,NONE
1366617,9605,1261238.519340000115335,237330.044070000003558,27917,13,28573,MGNL-QA,11TH AVE W AND SOUND VIEW S TR W,0,"(47.64024142000005, -122.37152807199999)", ,NONE
1366618,17130,1254674.024479999905452,199981.861759999999776,33910,13,68726,SW,VIEW LN SW AND SW OTHELLO ST,0,"(47.53751006300007, -122.39507643199994)", ,NONE
1366619,10974,1273853.827890000073239,231254.174109999992652,29002,13,36314,E,10TH AVE E AND E MERCER ST,0,"(47.62426733600006, -122.319889021)", ,NONE
